SRC: 	 ɡazalantʁatmif
TRG: 	 ɡ a z a   l a n t ʁ a t   m i f
PRED:	 ɡ a l a n t   t ʁ a l a n t   t ʁ a t m i f

SRC: 	 jaɡəstmʊmlvœlptə
TRG: 	 j a ɡ ə s t   m ʊ m l   v œ l p t ə
PRED:	 y a ɡ ə s t   m ʊ m ʊ m ʊ m ʊ m ʊ m ʊ m ʊ m ʊ m   l a ɡ ə s t

SRC: 	 foɐhaltɔɪçfɛɐzɛə
TRG: 	 f o ɐ h a l t   ɔ ɪ ç   f ɛ ɐ z ɛ ə
PRED:	 f o ɐ h a l t ɔ ɪ ç   f ɛ ɐ z ɛ ə

SRC: 	 apɡʏsnjɛtʁɪst ap
TRG: 	 a p ɡ ʏ s n   j ɛ t   ʁ ɪ s t   a p
PRED:	 a p ɡ ʏ s n   j ɛ t ʁ ɪ s t ʁ ɪ s t   a p

SRC: 	 ʃœsətɡʁɛʃanfɪksnt
TRG: 	 ʃ œ s ə t   ɡ ʁ ɛ ʃ   a n f ɪ k s n t
PRED:	 ʃ ʏ s ə t   ɡ ʁ ɛ ʃ a n f ɪ k s n   f ɪ k s n t

SRC: 	 vɔlknaptakləstpʊʃ
TRG: 	 v ɔ l k n   a p t a k l ə s t   p ʊ ʃ
PRED:	 v ɔ l k n a ʁ n a b n   a p t a k l ə s   t a k l ə s t   p ʊ ʃ ʊ s

SRC: 	 fʁaɪtodnhɛnakupɔ̃
TRG: 	 f ʁ a ɪ t o d n   h ɛ n a   k u p ɔ ̃
PRED:	 f ʁ a ɪ t o d n   h ɛ n a ɪ t o d n   h ɛ n a k u p ɛ n a k u p ɛ n

SRC: 	 dakslotʁɛçtʃtɔɪbn
TRG: 	 d a k s   l o t ʁ ɛ ç t   ʃ t ɔ ɪ b n
PRED:	 d a k s l o t ʃ t ʁ ɛ ç t ʃ t ʁ ɛ ç t ʃ t ʁ ɛ ç t ʃ t ʁ ɛ ç t ʃ t ʁ

SRC: 	 kɛstəapakɐtnambɔs
TRG: 	 k ɛ s t ə   a p a k ɐ t n   a m b ɔ s
PRED:	 k ɛ s t ə   a t ə a z o s

SRC: 	 vʊʃlhaʁən…ɡʁynlɪç
TRG: 	 v ʊ ʃ l h a ʁ ə n   …   ɡ ʁ y n l ɪ ç
PRED:	 v ʊ ʃ l h a ʁ ə n   ɡ ʁ a ʁ a ʁ y n l ɪ ç

SRC: 	 akəlaɪənklʊppœmpl
TRG: 	 a k ə l a ɪ ə n   k l ʊ p   p œ m p l
PRED:	 a ɛ ʊ p n   k ə l e ɪ ə n   k l e ɪ ə n k l i m p l

SRC: 	 vanəʁɛŋkəʃtʏt͡snt
TRG: 	 v a n ə   ʁ ɛ ŋ k ə   ʃ t ʏ t ͡ s n t
PRED:	 v a n ə ʁ ɛ ŋ k ə   ʁ ɛ ŋ k ə   ʃ t ʏ t ͡ s n t

SRC: 	 vaʃət mɪtavɛkfaʁə
TRG: 	 v a ʃ ə t   m ɪ t   a   v ɛ k f a ʁ ə
PRED:	 v a ʃ ə t   t a b ə t   t a ʁ ə

SRC: 	 ʃmiɐʃɛndədɪsɛnzəs
TRG: 	 ʃ m i ɐ   ʃ ɛ n d ə   d ɪ s ɛ n z ə s
PRED:	 ʃ m i ɐ ʃ m i ɐ   ʃ k ɪ s ɛ n f i ɐ   ʃ ɛ n z ə

SRC: 	 vɪnt͡szʊphɛmaɡoɡa
TRG: 	 v ɪ n t ͡ s   z ʊ p   h ɛ m a ɡ o ɡ a
PRED:	 v ɪ n t ͡ s b n t ͡ s   z ʊ p h ɛ m a ɡ a ɡ a ɡ a ɡ a ɡ a ɡ a ɡ a ɡ

SRC: 	 ʊnfɛɪɡəʁɐibɪsɛɐɡɪŋ
TRG: 	 ʊ n f ɛ ɪ ɡ ə ʁ ɐ   i b ɪ s   ɛ ɐ ɡ ɪ ŋ
